userName,rawContent,status
user1,Aplikasi ini lumayan untuk melihat nomor kita di namain apa,5
user2,Apaan ini aplikasi baru aja mau daftar malah logout,2
user3,Dulu suka banget apk ini. Sekarang jarang di pake karena berbayar,2
user4,sangat membantu supaya tidak ada panggilan penipuan lagi,5
