rawContent,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
Aplikasinya sangat memuaskan aku kasih nilai 100,aplikasinya sangat memuaskan aku kasih nilai 100,aplikasinya sangat memuaskan aku kasih nilai,"['aplikasinya', 'sangat', 'memuaskan', 'aku', 'kasih', 'nilai']","['aplikasinya', 'memuaskan', 'kasih', 'nilai']","['aplikasinya', 'memuaskan', 'kasih', 'nilai']","['aplikasi', 'muas', 'kasih', 'nilai']"
Sangat membantu hebat sukses slalu,sangat membantu hebat sukses slalu,sangat membantu hebat sukses slalu,"['sangat', 'membantu', 'hebat', 'sukses', 'slalu']","['membantu', 'hebat', 'sukses', 'slalu']","['membantu', 'hebat', 'sukses', 'slalu']","['bantu', 'hebat', 'sukses', 'slalu']"
Sangat sulit untuk login getcontact di web,sangat sulit untuk login getcontact di web,sangat sulit untuk login getcontact di web,"['sangat', 'sulit', 'untuk', 'login', 'getcontact', 'di', 'web']","['sulit', 'login', 'getcontact', 'web']","['sulit', 'login', 'getcontact', 'web']","['sulit', 'login', 'getcontact', 'web']"
Tidak bisa daftar...gagal terus.. Untuk team getcontact... Kalau memang sudah GA bisa dipake atau sudah TIDAK terima pelanggan baru...kasih tau atau JANGAN dipajang di PLAY STORE !!!,tidak bisa daftar...gagal terus.. untuk team getcontact... kalau memang sudah ga bisa dipake atau sudah tidak terima pelanggan baru...kasih tau atau jangan dipajang di play store !!!,tidak bisa daftargagal terus untuk team getcontact kalau memang sudah ga bisa dipake atau sudah tidak terima pelanggan barukasih tau atau jangan dipajang di play store,"['tidak', 'bisa', 'daftargagal', 'terus', 'untuk', 'team', 'getcontact', 'kalau', 'memang', 'sudah', 'ga', 'bisa', 'dipake', 'atau', 'sudah', 'tidak', 'terima', 'pelanggan', 'barukasih', 'tau', 'atau', 'jangan', 'dipajang', 'di', 'play', 'store']","['daftargagal', 'team', 'getcontact', 'dipake', 'terima', 'pelanggan', 'barukasih', 'dipajang', 'play', 'store']","['daftargagal', 'team', 'getcontact', 'dipake', 'terima', 'pelanggan', 'barukasih', 'dipajang', 'play', 'store']","['daftargagal', 'team', 'getcontact', 'dipake', 'terima', 'langgan', 'barukasih', 'pajang', 'play', 'store']"
Mantap sangat membantu,mantap sangat membantu,mantap sangat membantu,"['mantap', 'sangat', 'membantu']","['mantap', 'membantu']","['mantap', 'membantu']","['mantap', 'bantu']"
Udah lama ga pake. Eh pas ada saldo dana saldonya kepotong. Sama ini aplikasi emng kntl,udah lama ga pake. eh pas ada saldo dana saldonya kepotong. sama ini aplikasi emng kntl,udah lama ga pake eh pas ada saldo dana saldonya kepotong sama ini aplikasi emng kntl,"['udah', 'lama', 'ga', 'pake', 'eh', 'pas', 'ada', 'saldo', 'dana', 'saldonya', 'kepotong', 'sama', 'ini', 'aplikasi', 'emng', 'kntl']","['udah', 'pake', 'pas', 'saldo', 'dana', 'saldonya', 'kepotong', 'aplikasi', 'emng', 'kntl']","['udah', 'pake', 'pas', 'saldo', 'dana', 'saldonya', 'kepotong', 'aplikasi', 'emng', 'kntl']","['udah', 'pake', 'pas', 'saldo', 'dana', 'saldo', 'potong', 'aplikasi', 'emng', 'kntl']"
Bagus cuma kekurangan nya karena bayar 😕,bagus cuma kekurangan nya karena bayar 😕,bagus cuma kekurangan nya karena bayar,"['bagus', 'cuma', 'kekurangan', 'nya', 'karena', 'bayar']","['bagus', 'kekurangan', 'bayar']","['bagus', 'kekurangan', 'bayar']","['bagus', 'kurang', 'bayar']"
"Tolong fitur berbayar hanya untuk lihat siapa yg cek get contact saja jgn yg bisa hapus tag dan sembunyikan tag, sekarang banyak penipu pakai premium get contact dan menipu sana sini. Padahal tujuan apk ini sudah bagus jadi bisa cek mana yg penipu dan tidak, sekarang jadi ga bisa karna premium bisa menutupi penipu, tolong dihapus fitur itu","tolong fitur berbayar hanya untuk lihat siapa yg cek get contact saja jgn yg bisa hapus tag dan sembunyikan tag, sekarang banyak penipu pakai premium get contact dan menipu sana sini. padahal tujuan apk ini sudah bagus jadi bisa cek mana yg penipu dan tidak, sekarang jadi ga bisa karna premium bisa menutupi penipu, tolong dihapus fitur itu",tolong fitur berbayar hanya untuk lihat siapa yg cek get contact saja jgn yg bisa hapus tag dan sembunyikan tag sekarang banyak penipu pakai premium get contact dan menipu sana sini padahal tujuan apk ini sudah bagus jadi bisa cek mana yg penipu dan tidak sekarang jadi ga bisa karna premium bisa menutupi penipu tolong dihapus fitur itu,"['tolong', 'fitur', 'berbayar', 'hanya', 'untuk', 'lihat', 'siapa', 'yg', 'cek', 'get', 'contact', 'saja', 'jgn', 'yg', 'bisa', 'hapus', 'tag', 'dan', 'sembunyikan', 'tag', 'sekarang', 'banyak', 'penipu', 'pakai', 'premium', 'get', 'contact', 'dan', 'menipu', 'sana', 'sini', 'padahal', 'tujuan', 'apk', 'ini', 'sudah', 'bagus', 'jadi', 'bisa', 'cek', 'mana', 'yg', 'penipu', 'dan', 'tidak', 'sekarang', 'jadi', 'ga', 'bisa', 'karna', 'premium', 'bisa', 'menutupi', 'penipu', 'tolong', 'dihapus', 'fitur', 'itu']","['tolong', 'fitur', 'berbayar', 'lihat', 'cek', 'get', 'contact', 'hapus', 'tag', 'sembunyikan', 'tag', 'penipu', 'pakai', 'premium', 'get', 'contact', 'menipu', 'tujuan', 'apk', 'bagus', 'cek', 'penipu', 'karna', 'premium', 'menutupi', 'penipu', 'tolong', 'dihapus', 'fitur']","['tolong', 'fitur', 'berbayar', 'lihat', 'cek', 'get', 'contact', 'hapus', 'tag', 'sembunyikan', 'tag', 'penipu', 'pakai', 'premium', 'get', 'contact', 'menipu', 'tujuan', 'apk', 'bagus', 'cek', 'penipu', 'karna', 'premium', 'menutupi', 'penipu', 'tolong', 'dihapus', 'fitur']","['tolong', 'fitur', 'bayar', 'lihat', 'cek', 'get', 'contact', 'hapus', 'tag', 'sembunyi', 'tag', 'tipu', 'pakai', 'premium', 'get', 'contact', 'tipu', 'tuju', 'apk', 'bagus', 'cek', 'tipu', 'karna', 'premium', 'tutup', 'tipu', 'tolong', 'hapus', 'fitur']"
"Dulu kayanya belum ada iklan berlangganannya , tapi sekarang kenapa iklan berlangganannya sering banget muncul , ihh kecewa , tolong balikkin kaya dulu tanpa berlangganan","dulu kayanya belum ada iklan berlangganannya , tapi sekarang kenapa iklan berlangganannya sering banget muncul , ihh kecewa , tolong balikkin kaya dulu tanpa berlangganan",dulu kayanya belum ada iklan berlangganannya tapi sekarang kenapa iklan berlangganannya sering banget muncul ihh kecewa tolong balikkin kaya dulu tanpa berlangganan,"['dulu', 'kayanya', 'belum', 'ada', 'iklan', 'berlangganannya', 'tapi', 'sekarang', 'kenapa', 'iklan', 'berlangganannya', 'sering', 'banget', 'muncul', 'ihh', 'kecewa', 'tolong', 'balikkin', 'kaya', 'dulu', 'tanpa', 'berlangganan']","['kayanya', 'iklan', 'berlangganannya', 'iklan', 'berlangganannya', 'banget', 'muncul', 'ihh', 'kecewa', 'tolong', 'balikkin', 'kaya', 'berlangganan']","['kayanya', 'iklan', 'berlangganannya', 'iklan', 'berlangganannya', 'banget', 'muncul', 'ihh', 'kecewa', 'tolong', 'balikkin', 'kaya', 'berlangganan']","['kaya', 'iklan', 'langgan', 'iklan', 'langgan', 'banget', 'muncul', 'ihh', 'kecewa', 'tolong', 'balikkin', 'kaya', 'langgan']"
"jelek jelek, gabisa login","jelek jelek, gabisa login",jelek jelek gabisa login,"['jelek', 'jelek', 'gabisa', 'login']","['jelek', 'jelek', 'gabisa', 'login']","['jelek', 'jelek', 'gabisa', 'login']","['jelek', 'jelek', 'gabisa', 'login']"
"Aplikasi bagus, bisa ngecek nomor2 baru yg belum tersimpan di kontak","aplikasi bagus, bisa ngecek nomor2 baru yg belum tersimpan di kontak",aplikasi bagus bisa ngecek nomor baru yg belum tersimpan di kontak,"['aplikasi', 'bagus', 'bisa', 'ngecek', 'nomor', 'baru', 'yg', 'belum', 'tersimpan', 'di', 'kontak']","['aplikasi', 'bagus', 'ngecek', 'nomor', 'tersimpan', 'kontak']","['aplikasi', 'bagus', 'ngecek', 'nomor', 'tersimpan', 'kontak']","['aplikasi', 'bagus', 'ngecek', 'nomor', 'simpan', 'kontak']"
"Mamtap,tak usah pake bayar dong bos","mamtap,tak usah pake bayar dong bos",mamtaptak usah pake bayar dong bos,"['mamtaptak', 'usah', 'pake', 'bayar', 'dong', 'bos']","['mamtaptak', 'pake', 'bayar', 'bos']","['mamtaptak', 'pake', 'bayar', 'bos']","['mamtaptak', 'pake', 'bayar', 'bos']"
"Lebih suka getcontact yang dulu sekarang harus bayar padahal aplikasi nya bagus bangt ,tapi kok harus pake berlangganan kenapa kok gak pake iklan aja","lebih suka getcontact yang dulu sekarang harus bayar padahal aplikasi nya bagus bangt ,tapi kok harus pake berlangganan kenapa kok gak pake iklan aja",lebih suka getcontact yang dulu sekarang harus bayar padahal aplikasi nya bagus bangt tapi kok harus pake berlangganan kenapa kok gak pake iklan aja,"['lebih', 'suka', 'getcontact', 'yang', 'dulu', 'sekarang', 'harus', 'bayar', 'padahal', 'aplikasi', 'nya', 'bagus', 'bangt', 'tapi', 'kok', 'harus', 'pake', 'berlangganan', 'kenapa', 'kok', 'gak', 'pake', 'iklan', 'aja']","['suka', 'getcontact', 'bayar', 'aplikasi', 'bagus', 'bangt', 'pake', 'berlangganan', 'pake', 'iklan']","['suka', 'getcontact', 'bayar', 'aplikasi', 'bagus', 'bangt', 'pake', 'berlangganan', 'pake', 'iklan']","['suka', 'getcontact', 'bayar', 'aplikasi', 'bagus', 'bangt', 'pake', 'langgan', 'pake', 'iklan']"
Ok banget ni aplikasi sangat membantu sekali,ok banget ni aplikasi sangat membantu sekali,ok banget ni aplikasi sangat membantu sekali,"['ok', 'banget', 'ni', 'aplikasi', 'sangat', 'membantu', 'sekali']","['ok', 'banget', 'ni', 'aplikasi', 'membantu']","['ok', 'banget', 'ni', 'aplikasi', 'membantu']","['ok', 'banget', 'ni', 'aplikasi', 'bantu']"
"Lah aplikasi apaan si,baru mau masuk malah ga bisa..sayang paket data.","lah aplikasi apaan si,baru mau masuk malah ga bisa..sayang paket data.",lah aplikasi apaan sibaru mau masuk malah ga bisasayang paket data,"['lah', 'aplikasi', 'apaan', 'sibaru', 'mau', 'masuk', 'malah', 'ga', 'bisasayang', 'paket', 'data']","['aplikasi', 'sibaru', 'masuk', 'bisasayang', 'paket', 'data']","['aplikasi', 'sibaru', 'masuk', 'bisasayang', 'paket', 'data']","['aplikasi', 'sibaru', 'masuk', 'bisasayang', 'paket', 'data']"
"Hancur, aplikasi tdk berfaedah","hancur, aplikasi tdk berfaedah",hancur aplikasi tdk berfaedah,"['hancur', 'aplikasi', 'tdk', 'berfaedah']","['hancur', 'aplikasi', 'berfaedah']","['hancur', 'aplikasi', 'berfaedah']","['hancur', 'aplikasi', 'faedah']"
Baik saya suka dengan getcontak,baik saya suka dengan getcontak,baik saya suka dengan getcontak,"['baik', 'saya', 'suka', 'dengan', 'getcontak']","['suka', 'getcontak']","['suka', 'getcontak']","['suka', 'getcontak']"
"Aplikasi yg bagus. Hargai karya org lain dengan cara berlangganan aplikasinya. Pengen fitur canggih tapi gratis, situ waras","aplikasi yg bagus. hargai karya org lain dengan cara berlangganan aplikasinya. pengen fitur canggih tapi gratis, situ waras",aplikasi yg bagus hargai karya org lain dengan cara berlangganan aplikasinya pengen fitur canggih tapi gratis situ waras,"['aplikasi', 'yg', 'bagus', 'hargai', 'karya', 'org', 'lain', 'dengan', 'cara', 'berlangganan', 'aplikasinya', 'pengen', 'fitur', 'canggih', 'tapi', 'gratis', 'situ', 'waras']","['aplikasi', 'bagus', 'hargai', 'karya', 'org', 'berlangganan', 'aplikasinya', 'pengen', 'fitur', 'canggih', 'gratis', 'situ', 'waras']","['aplikasi', 'bagus', 'hargai', 'karya', 'org', 'berlangganan', 'aplikasinya', 'pengen', 'fitur', 'canggih', 'gratis', 'situ', 'waras']","['aplikasi', 'bagus', 'harga', 'karya', 'org', 'langgan', 'aplikasi', 'ken', 'fitur', 'canggih', 'gratis', 'situ', 'waras']"
Payment method untuk tariff tidak bisa diakses 95% orang yang instal aplikasi ini,payment method untuk tariff tidak bisa diakses 95% orang yang instal aplikasi ini,payment method untuk tariff tidak bisa diakses orang yang instal aplikasi ini,"['payment', 'method', 'untuk', 'tariff', 'tidak', 'bisa', 'diakses', 'orang', 'yang', 'instal', 'aplikasi', 'ini']","['payment', 'method', 'tariff', 'diakses', 'orang', 'instal', 'aplikasi']","['payment', 'method', 'tariff', 'diakses', 'orang', 'instal', 'aplikasi']","['payment', 'method', 'tariff', 'akses', 'orang', 'instal', 'aplikasi']"
Aplikasi ini sangat baik untuk kami,aplikasi ini sangat baik untuk kami,aplikasi ini sangat baik untuk kami,"['aplikasi', 'ini', 'sangat', 'baik', 'untuk', 'kami']",['aplikasi'],['aplikasi'],['aplikasi']
Bermanfaat banget apalagi buat nomer² yg tdk di kenal dan nomor² para penipu bisa langsung kediteksi,bermanfaat banget apalagi buat nomer² yg tdk di kenal dan nomor² para penipu bisa langsung kediteksi,bermanfaat banget apalagi buat nomer yg tdk di kenal dan nomor para penipu bisa langsung kediteksi,"['bermanfaat', 'banget', 'apalagi', 'buat', 'nomer', 'yg', 'tdk', 'di', 'kenal', 'dan', 'nomor', 'para', 'penipu', 'bisa', 'langsung', 'kediteksi']","['bermanfaat', 'banget', 'nomer', 'kenal', 'nomor', 'penipu', 'langsung', 'kediteksi']","['bermanfaat', 'banget', 'nomer', 'kenal', 'nomor', 'penipu', 'langsung', 'kediteksi']","['manfaat', 'banget', 'nomer', 'kenal', 'nomor', 'tipu', 'langsung', 'teks']"
Sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",['membantu'],['membantu'],['bantu']
"Harus berlangganan baru bisa digunakan, mengecewakan","harus berlangganan baru bisa digunakan, mengecewakan",harus berlangganan baru bisa digunakan mengecewakan,"['harus', 'berlangganan', 'baru', 'bisa', 'digunakan', 'mengecewakan']","['berlangganan', 'mengecewakan']","['berlangganan', 'mengecewakan']","['langgan', 'kecewa']"
"Bagus menghindari penipuan, spam ga jelas dan telemarketing dan emang lebih baik premium lebih berasa ter protectnya. Good job get contact.","bagus menghindari penipuan, spam ga jelas dan telemarketing dan emang lebih baik premium lebih berasa ter protectnya. good job get contact.",bagus menghindari penipuan spam ga jelas dan telemarketing dan emang lebih baik premium lebih berasa ter protectnya good job get contact,"['bagus', 'menghindari', 'penipuan', 'spam', 'ga', 'jelas', 'dan', 'telemarketing', 'dan', 'emang', 'lebih', 'baik', 'premium', 'lebih', 'berasa', 'ter', 'protectnya', 'good', 'job', 'get', 'contact']","['bagus', 'menghindari', 'penipuan', 'spam', 'telemarketing', 'emang', 'premium', 'berasa', 'ter', 'protectnya', 'good', 'job', 'get', 'contact']","['bagus', 'menghindari', 'penipuan', 'spam', 'telemarketing', 'emang', 'premium', 'berasa', 'ter', 'protectnya', 'good', 'job', 'get', 'contact']","['bagus', 'hindar', 'tipu', 'spam', 'telemarketing', 'emang', 'premium', 'asa', 'ter', 'protectnya', 'good', 'job', 'get', 'contact']"
"Sy sudh up ke premium, tpi pas mw ngecek siapa aja yg liat tag sy kok masih blm bisa ya.. ?","sy sudh up ke premium, tpi pas mw ngecek siapa aja yg liat tag sy kok masih blm bisa ya.. ?",sy sudh up ke premium tpi pas mw ngecek siapa aja yg liat tag sy kok masih blm bisa ya,"['sy', 'sudh', 'up', 'ke', 'premium', 'tpi', 'pas', 'mw', 'ngecek', 'siapa', 'aja', 'yg', 'liat', 'tag', 'sy', 'kok', 'masih', 'blm', 'bisa', 'ya']","['sy', 'sudh', 'up', 'premium', 'tpi', 'pas', 'mw', 'ngecek', 'liat', 'tag', 'sy', 'blm']","['sy', 'sudh', 'up', 'premium', 'tpi', 'pas', 'mw', 'ngecek', 'liat', 'tag', 'sy', 'blm']","['sy', 'sudh', 'up', 'premium', 'tpi', 'pas', 'mw', 'ngecek', 'liat', 'tag', 'sy', 'blm']"
Sayang nya ada beberapa yang tidak bisa di detect....,sayang nya ada beberapa yang tidak bisa di detect....,sayang nya ada beberapa yang tidak bisa di detect,"['sayang', 'nya', 'ada', 'beberapa', 'yang', 'tidak', 'bisa', 'di', 'detect']","['sayang', 'detect']","['sayang', 'detect']","['sayang', 'detect']"
Kenapa saya gak bisa login ya?,kenapa saya gak bisa login ya?,kenapa saya gak bisa login ya,"['kenapa', 'saya', 'gak', 'bisa', 'login', 'ya']",['login'],['login'],['login']
Ini privasi tidaka aman. Melanggar UU IT.. saya siap menuntut aplikaso Getcontact dan melaporkan aplikasi ini kepihak berwajib.,ini privasi tidaka aman. melanggar uu it.. saya siap menuntut aplikaso getcontact dan melaporkan aplikasi ini kepihak berwajib.,ini privasi tidaka aman melanggar uu it saya siap menuntut aplikaso getcontact dan melaporkan aplikasi ini kepihak berwajib,"['ini', 'privasi', 'tidaka', 'aman', 'melanggar', 'uu', 'it', 'saya', 'siap', 'menuntut', 'aplikaso', 'getcontact', 'dan', 'melaporkan', 'aplikasi', 'ini', 'kepihak', 'berwajib']","['privasi', 'tidaka', 'aman', 'melanggar', 'uu', 'it', 'menuntut', 'aplikaso', 'getcontact', 'melaporkan', 'aplikasi', 'kepihak', 'berwajib']","['privasi', 'tidaka', 'aman', 'melanggar', 'uu', 'it', 'menuntut', 'aplikaso', 'getcontact', 'melaporkan', 'aplikasi', 'kepihak', 'berwajib']","['privasi', 'tidaka', 'aman', 'langgar', 'uu', 'it', 'tuntut', 'aplikaso', 'getcontact', 'lapor', 'aplikasi', 'pihak', 'wajib']"
Aplikasi nya sangat baguuuus👍👍👍👍,aplikasi nya sangat baguuuus👍👍👍👍,aplikasi nya sangat baguuuus,"['aplikasi', 'nya', 'sangat', 'baguuuus']","['aplikasi', 'baguuuus']","['aplikasi', 'baguuuus']","['aplikasi', 'baguuuus']"
Sangat membantu sekali.,sangat membantu sekali.,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",['membantu'],['membantu'],['bantu']
"tidak bisa login sama sekali, aplikasi sampah","tidak bisa login sama sekali, aplikasi sampah",tidak bisa login sama sekali aplikasi sampah,"['tidak', 'bisa', 'login', 'sama', 'sekali', 'aplikasi', 'sampah']","['login', 'aplikasi', 'sampah']","['login', 'aplikasi', 'sampah']","['login', 'aplikasi', 'sampah']"
"Semoga bisa mengurangi,perselingkuahan kdpannya,kita laki laki atau perempuan meninggalkan pasangan kita,,bisa tenang tanpa was was,saat bekerja,keromantisan keluarga tetap terjaga,keluarga yg sakinah mawaddah jg trjaga,amin","semoga bisa mengurangi,perselingkuahan kdpannya,kita laki laki atau perempuan meninggalkan pasangan kita,,bisa tenang tanpa was was,saat bekerja,keromantisan keluarga tetap terjaga,keluarga yg sakinah mawaddah jg trjaga,amin",semoga bisa mengurangiperselingkuahan kdpannyakita laki laki atau perempuan meninggalkan pasangan kitabisa tenang tanpa was wassaat bekerjakeromantisan keluarga tetap terjagakeluarga yg sakinah mawaddah jg trjagaamin,"['semoga', 'bisa', 'mengurangiperselingkuahan', 'kdpannyakita', 'laki', 'laki', 'atau', 'perempuan', 'meninggalkan', 'pasangan', 'kitabisa', 'tenang', 'tanpa', 'was', 'wassaat', 'bekerjakeromantisan', 'keluarga', 'tetap', 'terjagakeluarga', 'yg', 'sakinah', 'mawaddah', 'jg', 'trjagaamin']","['semoga', 'mengurangiperselingkuahan', 'kdpannyakita', 'laki', 'laki', 'perempuan', 'meninggalkan', 'pasangan', 'kitabisa', 'tenang', 'was', 'wassaat', 'bekerjakeromantisan', 'keluarga', 'terjagakeluarga', 'sakinah', 'mawaddah', 'jg', 'trjagaamin']","['semoga', 'mengurangiperselingkuahan', 'kdpannyakita', 'laki', 'laki', 'perempuan', 'meninggalkan', 'pasangan', 'kitabisa', 'tenang', 'was', 'wassaat', 'bekerjakeromantisan', 'keluarga', 'terjagakeluarga', 'sakinah', 'mawaddah', 'jg', 'trjagaamin']","['moga', 'mengurangiperselingkuahan', 'kdpannyakita', 'laki', 'laki', 'perempuan', 'tinggal', 'pasang', 'kitabisa', 'tenang', 'was', 'wassaat', 'bekerjakeromantisan', 'keluarga', 'terjagakeluarga', 'sakinah', 'mawaddah', 'jg', 'trjagaamin']"
Kais dua dulu ya mau coba dulu apakah sesuai dengan komentar ulasan lainnya kalau tidak sesuai akan saya tambahin lagi bintang nya jika faktanya sesuai langsung saya uninstall aja,kais dua dulu ya mau coba dulu apakah sesuai dengan komentar ulasan lainnya kalau tidak sesuai akan saya tambahin lagi bintang nya jika faktanya sesuai langsung saya uninstall aja,kais dua dulu ya mau coba dulu apakah sesuai dengan komentar ulasan lainnya kalau tidak sesuai akan saya tambahin lagi bintang nya jika faktanya sesuai langsung saya uninstall aja,"['kais', 'dua', 'dulu', 'ya', 'mau', 'coba', 'dulu', 'apakah', 'sesuai', 'dengan', 'komentar', 'ulasan', 'lainnya', 'kalau', 'tidak', 'sesuai', 'akan', 'saya', 'tambahin', 'lagi', 'bintang', 'nya', 'jika', 'faktanya', 'sesuai', 'langsung', 'saya', 'uninstall', 'aja']","['kais', 'coba', 'sesuai', 'komentar', 'ulasan', 'sesuai', 'tambahin', 'bintang', 'faktanya', 'sesuai', 'langsung', 'uninstall']","['kais', 'coba', 'sesuai', 'komentar', 'ulasan', 'sesuai', 'tambahin', 'bintang', 'faktanya', 'sesuai', 'langsung', 'uninstall']","['kais', 'coba', 'sesuai', 'komentar', 'ulas', 'sesuai', 'tambahin', 'bintang', 'fakta', 'sesuai', 'langsung', 'uninstall']"
bagus skali saya suka,bagus skali saya suka,bagus skali saya suka,"['bagus', 'skali', 'saya', 'suka']","['bagus', 'skali', 'suka']","['bagus', 'skali', 'suka']","['bagus', 'skali', 'suka']"
Aplikasi yg sangat membantu,aplikasi yg sangat membantu,aplikasi yg sangat membantu,"['aplikasi', 'yg', 'sangat', 'membantu']","['aplikasi', 'membantu']","['aplikasi', 'membantu']","['aplikasi', 'bantu']"
Knp saya mau login tidak bisa login fb google pun tidak bisa tolong jelaskan biar saya bisa menggunakan nya,knp saya mau login tidak bisa login fb google pun tidak bisa tolong jelaskan biar saya bisa menggunakan nya,knp saya mau login tidak bisa login fb google pun tidak bisa tolong jelaskan biar saya bisa menggunakan nya,"['knp', 'saya', 'mau', 'login', 'tidak', 'bisa', 'login', 'fb', 'google', 'pun', 'tidak', 'bisa', 'tolong', 'jelaskan', 'biar', 'saya', 'bisa', 'menggunakan', 'nya']","['knp', 'login', 'login', 'fb', 'google', 'tolong']","['knp', 'login', 'login', 'fb', 'google', 'tolong']","['knp', 'login', 'login', 'fb', 'google', 'tolong']"
Bagus dan bermanfaat,bagus dan bermanfaat,bagus dan bermanfaat,"['bagus', 'dan', 'bermanfaat']","['bagus', 'bermanfaat']","['bagus', 'bermanfaat']","['bagus', 'manfaat']"
"Gimana cara mengganti nomer telpon ya? Sy mau ganti premium tp dg nomer lama bukan nomer baru,gimana cara nyaaa toloooong...","gimana cara mengganti nomer telpon ya? sy mau ganti premium tp dg nomer lama bukan nomer baru,gimana cara nyaaa toloooong...",gimana cara mengganti nomer telpon ya sy mau ganti premium tp dg nomer lama bukan nomer barugimana cara nyaaa toloooong,"['gimana', 'cara', 'mengganti', 'nomer', 'telpon', 'ya', 'sy', 'mau', 'ganti', 'premium', 'tp', 'dg', 'nomer', 'lama', 'bukan', 'nomer', 'barugimana', 'cara', 'nyaaa', 'toloooong']","['gimana', 'mengganti', 'nomer', 'telpon', 'sy', 'ganti', 'premium', 'tp', 'nomer', 'nomer', 'barugimana', 'nyaaa', 'toloooong']","['gimana', 'mengganti', 'nomer', 'telpon', 'sy', 'ganti', 'premium', 'tp', 'nomer', 'nomer', 'barugimana', 'nyaaa', 'toloooong']","['gimana', 'ganti', 'nomer', 'telpon', 'sy', 'ganti', 'premium', 'tp', 'nomer', 'nomer', 'barugimana', 'nyaaa', 'toloooong']"
"Kok aplikasi nya nggak bsa verifikasi sihh... Udah coba beberapa kali,tapi nggak bisa.. di perbaiki lagi yaah aplikasi nya...","kok aplikasi nya nggak bsa verifikasi sihh... udah coba beberapa kali,tapi nggak bisa.. di perbaiki lagi yaah aplikasi nya...",kok aplikasi nya nggak bsa verifikasi sihh udah coba beberapa kalitapi nggak bisa di perbaiki lagi yaah aplikasi nya,"['kok', 'aplikasi', 'nya', 'nggak', 'bsa', 'verifikasi', 'sihh', 'udah', 'coba', 'beberapa', 'kalitapi', 'nggak', 'bisa', 'di', 'perbaiki', 'lagi', 'yaah', 'aplikasi', 'nya']","['aplikasi', 'nggak', 'bsa', 'verifikasi', 'sihh', 'udah', 'coba', 'kalitapi', 'nggak', 'perbaiki', 'yaah', 'aplikasi']","['aplikasi', 'nggak', 'bsa', 'verifikasi', 'sihh', 'udah', 'coba', 'kalitapi', 'nggak', 'perbaiki', 'yaah', 'aplikasi']","['aplikasi', 'nggak', 'bsa', 'verifikasi', 'sihh', 'udah', 'coba', 'kalitapi', 'nggak', 'baik', 'yaah', 'aplikasi']"
Dioptimalkan lagi,dioptimalkan lagi,dioptimalkan lagi,"['dioptimalkan', 'lagi']",['dioptimalkan'],['dioptimalkan'],['optimal']
Masih aman jdi tau siapa yg telp tanpa kita simpen nmr nya mantap👍👍👍,masih aman jdi tau siapa yg telp tanpa kita simpen nmr nya mantap👍👍👍,masih aman jdi tau siapa yg telp tanpa kita simpen nmr nya mantap,"['masih', 'aman', 'jdi', 'tau', 'siapa', 'yg', 'telp', 'tanpa', 'kita', 'simpen', 'nmr', 'nya', 'mantap']","['aman', 'jdi', 'telp', 'simpen', 'nmr', 'mantap']","['aman', 'jdi', 'telp', 'simpen', 'nmr', 'mantap']","['aman', 'jdi', 'telp', 'simpen', 'nmr', 'mantap']"
Aplikasi appan sih gak jelas banget,aplikasi appan sih gak jelas banget,aplikasi appan sih gak jelas banget,"['aplikasi', 'appan', 'sih', 'gak', 'jelas', 'banget']","['aplikasi', 'appan', 'banget']","['aplikasi', 'appan', 'banget']","['aplikasi', 'appan', 'banget']"
"Terimakasih, sangat berguna sekali","terimakasih, sangat berguna sekali",terimakasih sangat berguna sekali,"['terimakasih', 'sangat', 'berguna', 'sekali']","['terimakasih', 'berguna']","['terimakasih', 'berguna']","['terimakasih', 'guna']"
verifikasi nya kok salah yaaa pdhl udhh nyoba berkali kali tpi gagal trss,verifikasi nya kok salah yaaa pdhl udhh nyoba berkali kali tpi gagal trss,verifikasi nya kok salah yaaa pdhl udhh nyoba berkali kali tpi gagal trss,"['verifikasi', 'nya', 'kok', 'salah', 'yaaa', 'pdhl', 'udhh', 'nyoba', 'berkali', 'kali', 'tpi', 'gagal', 'trss']","['verifikasi', 'salah', 'yaaa', 'pdhl', 'udhh', 'nyoba', 'berkali', 'kali', 'tpi', 'gagal', 'trss']","['verifikasi', 'salah', 'yaaa', 'pdhl', 'udhh', 'nyoba', 'berkali', 'kali', 'tpi', 'gagal', 'trss']","['verifikasi', 'salah', 'yaaa', 'pdhl', 'udhh', 'nyoba', 'kali', 'kali', 'tpi', 'gagal', 'trss']"
Tolong tambahin fitur blokir penelpon yg tidak dikenal,tolong tambahin fitur blokir penelpon yg tidak dikenal,tolong tambahin fitur blokir penelpon yg tidak dikenal,"['tolong', 'tambahin', 'fitur', 'blokir', 'penelpon', 'yg', 'tidak', 'dikenal']","['tolong', 'tambahin', 'fitur', 'blokir', 'penelpon', 'dikenal']","['tolong', 'tambahin', 'fitur', 'blokir', 'penelpon', 'dikenal']","['tolong', 'tambahin', 'fitur', 'blokir', 'telpon', 'kenal']"
