rawContent,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
"Susah login, padahal jaringan bagus dan sudah berulang kali memVerifikasi ke watsaap juga tidak berhasil, lewat jalur lain bahkan lewat no tlpn pun tdk berhasil.","susah login, padahal jaringan bagus dan sudah berulang kali memverifikasi ke watsaap juga tidak berhasil, lewat jalur lain bahkan lewat no tlpn pun tdk berhasil.",susah login padahal jaringan bagus dan sudah berulang kali memverifikasi ke watsaap juga tidak berhasil lewat jalur lain bahkan lewat no tlpn pun tdk berhasil,"['susah', 'login', 'padahal', 'jaringan', 'bagus', 'dan', 'sudah', 'berulang', 'kali', 'memverifikasi', 'ke', 'watsaap', 'juga', 'tidak', 'berhasil', 'lewat', 'jalur', 'lain', 'bahkan', 'lewat', 'no', 'tlpn', 'pun', 'tdk', 'berhasil']","['susah', 'login', 'jaringan', 'bagus', 'berulang', 'kali', 'memverifikasi', 'watsaap', 'berhasil', 'jalur', 'no', 'tlpn', 'berhasil']","['susah', 'login', 'jaringan', 'bagus', 'berulang', 'kali', 'memverifikasi', 'watsaap', 'berhasil', 'jalur', 'no', 'tlpn', 'berhasil']","['susah', 'login', 'jaring', 'bagus', 'ulang', 'kali', 'verifikasi', 'watsaap', 'hasil', 'jalur', 'no', 'tlpn', 'hasil']"
"Sangat membantu, mengidentifikasi, yg baik dan yg buruk. Tks.","sangat membantu, mengidentifikasi, yg baik dan yg buruk. tks.",sangat membantu mengidentifikasi yg baik dan yg buruk tks,"['sangat', 'membantu', 'mengidentifikasi', 'yg', 'baik', 'dan', 'yg', 'buruk', 'tks']","['membantu', 'mengidentifikasi', 'buruk', 'tks']","['membantu', 'mengidentifikasi', 'buruk', 'tks']","['bantu', 'identifikasi', 'buruk', 'tks']"
Keren banget bisa melacak seseorang itu soap dari nomor telephone aja,keren banget bisa melacak seseorang itu soap dari nomor telephone aja,keren banget bisa melacak seseorang itu soap dari nomor telephone aja,"['keren', 'banget', 'bisa', 'melacak', 'seseorang', 'itu', 'soap', 'dari', 'nomor', 'telephone', 'aja']","['keren', 'banget', 'melacak', 'soap', 'nomor', 'telephone']","['keren', 'banget', 'melacak', 'soap', 'nomor', 'telephone']","['keren', 'banget', 'lacak', 'soap', 'nomor', 'telephone']"
"Uhh gk bisa di buka aplikasinya, sungguh mengecewakan sekali udh download nunggu sampai satu jam eh malah gk bisa aplikasinya, ngabis-ngabisin paketan aja 😤","uhh gk bisa di buka aplikasinya, sungguh mengecewakan sekali udh download nunggu sampai satu jam eh malah gk bisa aplikasinya, ngabis-ngabisin paketan aja 😤",uhh gk bisa di buka aplikasinya sungguh mengecewakan sekali udh download nunggu sampai satu jam eh malah gk bisa aplikasinya ngabisngabisin paketan aja,"['uhh', 'gk', 'bisa', 'di', 'buka', 'aplikasinya', 'sungguh', 'mengecewakan', 'sekali', 'udh', 'download', 'nunggu', 'sampai', 'satu', 'jam', 'eh', 'malah', 'gk', 'bisa', 'aplikasinya', 'ngabisngabisin', 'paketan', 'aja']","['gk', 'buka', 'aplikasinya', 'sungguh', 'mengecewakan', 'udh', 'download', 'nunggu', 'jam', 'gk', 'aplikasinya', 'ngabisngabisin', 'paketan']","['gk', 'buka', 'aplikasinya', 'sungguh', 'mengecewakan', 'udh', 'download', 'nunggu', 'jam', 'gk', 'aplikasinya', 'ngabisngabisin', 'paketan']","['gk', 'buka', 'aplikasi', 'sungguh', 'kecewa', 'udh', 'download', 'nunggu', 'jam', 'gk', 'aplikasi', 'ngabisngabisin', 'paket']"
"Dulu apk nya baguss.. tapi sekarang bener² makin jlk.. cuman login doang susah banget, semuanya gk bisa, yg paling gampang pke fb juga gk bisa","dulu apk nya baguss.. tapi sekarang bener² makin jlk.. cuman login doang susah banget, semuanya gk bisa, yg paling gampang pke fb juga gk bisa",dulu apk nya baguss tapi sekarang bener makin jlk cuman login doang susah banget semuanya gk bisa yg paling gampang pke fb juga gk bisa,"['dulu', 'apk', 'nya', 'baguss', 'tapi', 'sekarang', 'bener', 'makin', 'jlk', 'cuman', 'login', 'doang', 'susah', 'banget', 'semuanya', 'gk', 'bisa', 'yg', 'paling', 'gampang', 'pke', 'fb', 'juga', 'gk', 'bisa']","['apk', 'baguss', 'bener', 'jlk', 'cuman', 'login', 'doang', 'susah', 'banget', 'gk', 'gampang', 'pke', 'fb', 'gk']","['apk', 'baguss', 'bener', 'jlk', 'cuman', 'login', 'doang', 'susah', 'banget', 'gk', 'gampang', 'pke', 'fb', 'gk']","['apk', 'baguss', 'bener', 'jlk', 'cuman', 'login', 'doang', 'susah', 'banget', 'gk', 'gampang', 'pke', 'fb', 'gk']"
Getcontact ini sangat berguna buat saya agar bisa melihat nomor yang tidak di kenal,getcontact ini sangat berguna buat saya agar bisa melihat nomor yang tidak di kenal,getcontact ini sangat berguna buat saya agar bisa melihat nomor yang tidak di kenal,"['getcontact', 'ini', 'sangat', 'berguna', 'buat', 'saya', 'agar', 'bisa', 'melihat', 'nomor', 'yang', 'tidak', 'di', 'kenal']","['getcontact', 'berguna', 'nomor', 'kenal']","['getcontact', 'berguna', 'nomor', 'kenal']","['getcontact', 'guna', 'nomor', 'kenal']"
Bagus tapi suka ada yang premium,bagus tapi suka ada yang premium,bagus tapi suka ada yang premium,"['bagus', 'tapi', 'suka', 'ada', 'yang', 'premium']","['bagus', 'suka', 'premium']","['bagus', 'suka', 'premium']","['bagus', 'suka', 'premium']"
"Ga bisa dikirim kode nya, padahal WhatsApp saya aktif huhu","ga bisa dikirim kode nya, padahal whatsapp saya aktif huhu",ga bisa dikirim kode nya padahal whatsapp saya aktif huhu,"['ga', 'bisa', 'dikirim', 'kode', 'nya', 'padahal', 'whatsapp', 'saya', 'aktif', 'huhu']","['dikirim', 'kode', 'whatsapp', 'aktif']","['dikirim', 'kode', 'whatsapp', 'aktif']","['kirim', 'kode', 'whatsapp', 'aktif']"
Pengen bayar tarif harus punya kartu kredit atau PayPal.. Lewat pembayaran lain kaga bisa ya,pengen bayar tarif harus punya kartu kredit atau paypal.. lewat pembayaran lain kaga bisa ya,pengen bayar tarif harus punya kartu kredit atau paypal lewat pembayaran lain kaga bisa ya,"['pengen', 'bayar', 'tarif', 'harus', 'punya', 'kartu', 'kredit', 'atau', 'paypal', 'lewat', 'pembayaran', 'lain', 'kaga', 'bisa', 'ya']","['pengen', 'bayar', 'tarif', 'kartu', 'kredit', 'paypal', 'pembayaran', 'kaga']","['pengen', 'bayar', 'tarif', 'kartu', 'kredit', 'paypal', 'pembayaran', 'kaga']","['ken', 'bayar', 'tarif', 'kartu', 'kredit', 'paypal', 'bayar', 'kaga']"
Minta tolong hapus apk ini / getkontak di hapus dari play store yah karena menimbulkan kesalahan pahaman dan penipuan dan saya di save sama teman dengan nama yg tidak pantas dan menimbulkan temen yg sudah mempercayai saya seketika hilang kepercayaan itu kepada saya terimakasih,minta tolong hapus apk ini / getkontak di hapus dari play store yah karena menimbulkan kesalahan pahaman dan penipuan dan saya di save sama teman dengan nama yg tidak pantas dan menimbulkan temen yg sudah mempercayai saya seketika hilang kepercayaan itu kepada saya terimakasih,minta tolong hapus apk ini getkontak di hapus dari play store yah karena menimbulkan kesalahan pahaman dan penipuan dan saya di save sama teman dengan nama yg tidak pantas dan menimbulkan temen yg sudah mempercayai saya seketika hilang kepercayaan itu kepada saya terimakasih,"['minta', 'tolong', 'hapus', 'apk', 'ini', 'getkontak', 'di', 'hapus', 'dari', 'play', 'store', 'yah', 'karena', 'menimbulkan', 'kesalahan', 'pahaman', 'dan', 'penipuan', 'dan', 'saya', 'di', 'save', 'sama', 'teman', 'dengan', 'nama', 'yg', 'tidak', 'pantas', 'dan', 'menimbulkan', 'temen', 'yg', 'sudah', 'mempercayai', 'saya', 'seketika', 'hilang', 'kepercayaan', 'itu', 'kepada', 'saya', 'terimakasih']","['tolong', 'hapus', 'apk', 'getkontak', 'hapus', 'play', 'store', 'menimbulkan', 'kesalahan', 'pahaman', 'penipuan', 'save', 'teman', 'nama', 'menimbulkan', 'temen', 'mempercayai', 'hilang', 'kepercayaan', 'terimakasih']","['tolong', 'hapus', 'apk', 'getkontak', 'hapus', 'play', 'store', 'menimbulkan', 'kesalahan', 'pahaman', 'penipuan', 'save', 'teman', 'nama', 'menimbulkan', 'temen', 'mempercayai', 'hilang', 'kepercayaan', 'terimakasih']","['tolong', 'hapus', 'apk', 'getkontak', 'hapus', 'play', 'store', 'timbul', 'salah', 'paham', 'tipu', 'save', 'teman', 'nama', 'timbul', 'temen', 'percaya', 'hilang', 'percaya', 'terimakasih']"
