,rawContent,caseFolding,cleaning,tokenizing,tweet_tokens_fdist,stopword,tweet_tokens_normalized,tweet_tokens_stemmed
31,"game"" bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kont*l","game"" bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kont*l",game bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kontl,"['game', 'bisa', 'bikin', 'skin', 'bisa', 'tapi', 'monton', 'ga', 'bisa', 'ngasi', 'tim', 'yg', 'adil', 'anjing', 'gw', 'di', 'kasih', 'dark', 'sistem', 'mulu', 'kontl']",<FreqDist with 19 samples and 21 outcomes>,"['game', 'skin', 'monton', 'ngasi', 'tim', 'adil', 'anjing', 'gw', 'kasih', 'dark', 'sistem', 'mulu', 'kontl']","['gim,', 'skin', 'moonton,', 'ngasi', 'tim', 'adil', 'anjing', 'saya,', 'kasih', 'dark', 'sistim,', 'melulu,', 'kontl']","['gim', 'skin', 'moonton', 'ngasi', 'tim', 'adil', 'anjing', 'saya', 'kasih', 'dark', 'sistim', 'melulu', 'kontl']"
32,Game yang sangat bagus cocok untuk anak dibawah 6 tahun playernya juga ramahÂ² terutama player inisial Jawa dengan kearifan bertutur katanya yg sangat sopanâ˜ºï¸,game yang sangat bagus cocok untuk anak dibawah 6 tahun playernya juga ramahâ² terutama player inisial jawa dengan kearifan bertutur katanya yg sangat sopanâ˜ºï¸,game yang sangat bagus cocok untuk anak dibawah tahun playernya juga ramah terutama player inisial jawa dengan kearifan bertutur katanya yg sangat sopan,"['game', 'yang', 'sangat', 'bagus', 'cocok', 'untuk', 'anak', 'dibawah', 'tahun', 'playernya', 'juga', 'ramah', 'terutama', 'player', 'inisial', 'jawa', 'dengan', 'kearifan', 'bertutur', 'katanya', 'yg', 'sangat', 'sopan']",<FreqDist with 22 samples and 23 outcomes>,"['game', 'bagus', 'cocok', 'anak', 'dibawah', 'playernya', 'ramah', 'player', 'inisial', 'jawa', 'kearifan', 'sopan']","['gim,', 'bagus', 'cocok', 'anak', 'dibawah', 'playernya', 'ramah', 'pengguna,', 'inisial', 'jawa', 'kearifan', 'sopan']","['gim', 'bagus', 'cocok', 'anak', 'bawah', 'playernya', 'ramah', 'guna', 'inisial', 'jawa', 'arif', 'sopan']"
33,Bad games,bad games,bad games,"['bad', 'games']",<FreqDist with 2 samples and 2 outcomes>,"['bad', 'games']","['bad', 'games']","['bad', 'games']"
34,Susah,susah,susah,['susah'],<FreqDist with 1 samples and 1 outcomes>,['susah'],['susah'],['susah']
35,Tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu.,tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu.,tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu,"['tolong', 'hapus', 'invalid', 'di', 'rank', 'mytik', 'kalo', 'tidak', 'pihak', 'yang', 'tidak', 'menyerah', 'tetap', 'tambanh', 'bintang', 'yang', 'nyerah', 'tidak', 'hilang', 'bintang', 'terima', 'kasih', 'karna', 'sangat', 'membuang', 'waktu']",<FreqDist with 22 samples and 26 outcomes>,"['tolong', 'hapus', 'invalid', 'rank', 'mytik', 'menyerah', 'tambanh', 'bintang', 'nyerah', 'hilang', 'bintang', 'terima', 'kasih', 'karna', 'membuang']","['tolong', 'hapus', 'invalid', 'rank', 'mytik', 'menyerah', 'tambanh', 'bintang', 'nyerah', 'hilang', 'bintang', 'terima', 'kasih', 'karena,', 'membuang']","['tolong', 'hapus', 'invalid', 'rank', 'mytik', 'serah', 'tambanh', 'bintang', 'nyerah', 'hilang', 'bintang', 'terima', 'kasih', 'karena', 'buang']"
36,Sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,"['sering', 'bgt', 'kalah', 'trus', 'dikasih', 'tim', 'yg', 'ga', 'bisa', 'main', 'main', 'di', 'rank', 'mytic', 'di', 'kasih', 'tim', 'rank', 'epic', 'pokoknya', 'sesek', 'sama', 'sistem', 'nya', 'moonton']",<FreqDist with 21 samples and 25 outcomes>,"['bgt', 'kalah', 'trus', 'dikasih', 'tim', 'main', 'main', 'rank', 'mytic', 'kasih', 'tim', 'rank', 'epic', 'pokoknya', 'sesek', 'sistem', 'moonton']","['banget,', 'kalah', 'terus,', 'dikasih', 'tim', 'main', 'main', 'rank', 'mytic', 'kasih', 'tim', 'rank', 'epic', 'pokoknya', 'sesek', 'sistim,', 'moonton']","['banget', 'kalah', 'terus', 'kasih', 'tim', 'main', 'main', 'rank', 'mytic', 'kasih', 'tim', 'rank', 'epic', 'pokok', 'sek', 'sistim', 'moonton']"
37,honor of king dah mau rilis wkwkwkwk.... Banyakin event skin gratis colector kalo bisa :),honor of king dah mau rilis wkwkwkwk.... banyakin event skin gratis colector kalo bisa :),honor of king dah mau rilis wkwkwkwk banyakin event skin gratis colector kalo bisa,"['honor', 'of', 'king', 'dah', 'mau', 'rilis', 'wkwkwkwk', 'banyakin', 'event', 'skin', 'gratis', 'colector', 'kalo', 'bisa']",<FreqDist with 14 samples and 14 outcomes>,"['honor', 'of', 'king', 'dah', 'rilis', 'wkwkwkwk', 'banyakin', 'event', 'skin', 'gratis', 'colector']","['honor', 'of', 'king', 'sudah,', 'rilis', 'wkwkwkwk', 'banyakin', 'kegiatan,', 'skin', 'gratis', 'colector']","['honor', 'of', 'king', 'sudah', 'rilis', 'wkwkwkwk', 'banyakin', 'giat', 'skin', 'gratis', 'colector']"
38,Mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tiba-tiba setingan berubah sendiri harap di tingkat kan LG mohon kerjasamanya ðŸ™ðŸ™ðŸ™,mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tiba-tiba setingan berubah sendiri harap di tingkat kan lg mohon kerjasamanya ðÿ™ðÿ™ðÿ™,mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tibatiba setingan berubah sendiri harap di tingkat kan lg mohon kerjasamanya,"['mohon', 'maaf', 'pihak', 'monton', 'harap', 'memperbaiki', 'prihal', 'bug', 'yg', 'terjadi', 'saat', 'dalam', 'pertandingan', 'sering', 'jalan', 'sendiri', 'macet', 'trs', 'tibatiba', 'setingan', 'berubah', 'sendiri', 'harap', 'di', 'tingkat', 'kan', 'lg', 'mohon', 'kerjasamanya']",<FreqDist with 26 samples and 29 outcomes>,"['mohon', 'maaf', 'monton', 'harap', 'memperbaiki', 'prihal', 'bug', 'pertandingan', 'jalan', 'macet', 'trs', 'tibatiba', 'setingan', 'berubah', 'harap', 'tingkat', 'lg', 'mohon', 'kerjasamanya']","['mohon', 'maaf', 'moonton,', 'harap', 'memperbaiki', 'perihal,', 'bug', 'pertandingan', 'jalan', 'macet', 'terus,', 'tiba,', 'setingan', 'berubah', 'harap', 'tingkat', 'lagi,', 'mohon', 'kerjasamanya']","['mohon', 'maaf', 'moonton', 'harap', 'baik', 'perihal', 'bug', 'tanding', 'jalan', 'macet', 'terus', 'tiba', 'ting', 'ubah', 'harap', 'tingkat', 'lagi', 'mohon', 'kerjasamanya']"
39,yg komen bgus fix mentalnya kena kecewa sama draf sistemnya.,yg komen bgus fix mentalnya kena kecewa sama draf sistemnya.,yg komen bgus fix mentalnya kena kecewa sama draf sistemnya,"['yg', 'komen', 'bgus', 'fix', 'mentalnya', 'kena', 'kecewa', 'sama', 'draf', 'sistemnya']",<FreqDist with 10 samples and 10 outcomes>,"['komen', 'bgus', 'fix', 'mentalnya', 'kena', 'kecewa', 'draf', 'sistemnya']","['komen', 'bagus,', 'fix', 'mentalnya', 'kena,', 'kecewa', 'draf', 'sistemnya']","['komen', 'bagus', 'fix', 'mental', 'kena', 'kecewa', 'draf', 'sistem']"
40,Seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke Honor of King kita semua cape dapat tim jelek rata rata bocil jokian yg main bb Ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke honor of king kita semua cape dapat tim jelek rata rata bocil jokian yg main bb ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke honor of king kita semua cape dapat tim jelek rata rata bocil jokian yg main bb ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,"['seberapa', 'banyak', 'lu', 'kasih', 'skin', 'gratis', 'ke', 'kita', 'kita', 'pasti', 'pindah', 'ke', 'honor', 'of', 'king', 'kita', 'semua', 'cape', 'dapat', 'tim', 'jelek', 'rata', 'rata', 'bocil', 'jokian', 'yg', 'main', 'bb', 'ga', 'ada', 'yang', 'mau', 'main', 'game', 'lu', 'lagi', 'kecuali', 'para', 'bocil', 'jokian', 'sama', 'penjoki']",<FreqDist with 34 samples and 42 outcomes>,"['lu', 'kasih', 'skin', 'gratis', 'pindah', 'honor', 'of', 'king', 'cape', 'tim', 'jelek', 'bocil', 'jokian', 'main', 'bb', 'main', 'game', 'lu', 'kecuali', 'bocil', 'jokian', 'penjoki']","['kamu,', 'kasih', 'skin', 'gratis', 'pindah', 'honor', 'of', 'king', 'capek,', 'tim', 'jelek', 'bocil', 'jokian', 'main', 'bb', 'main', 'gim,', 'kamu,', 'kecuali', 'bocil', 'jokian', 'penjoki']","['kamu', 'kasih', 'skin', 'gratis', 'pindah', 'honor', 'of', 'king', 'capek', 'tim', 'jelek', 'bocil', 'joki', 'main', 'bb', 'main', 'gim', 'kamu', 'kecuali', 'bocil', 'joki', 'joki']"
41,Kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,"['kalau', 'ada', 'player', 'afk', 'atau', 'feed', 'kashi', 'hukuman', 'yang', 'lebih', 'berat', 'dong', 'cape', 'ketemu', 'orang', 'orang', 'begituan']",<FreqDist with 16 samples and 17 outcomes>,"['player', 'afk', 'feed', 'kashi', 'hukuman', 'berat', 'cape', 'ketemu', 'orang', 'orang', 'begituan']","['pengguna,', 'afk', 'feed', 'kashi', 'hukuman', 'berat', 'capek,', 'ketemu', 'orang', 'orang', 'begituan']","['guna', 'afk', 'feed', 'kashi', 'hukum', 'berat', 'capek', 'ketemu', 'orang', 'orang', 'begitu']"
42,Malah nambah Stress,malah nambah stress,malah nambah stress,"['malah', 'nambah', 'stress']",<FreqDist with 3 samples and 3 outcomes>,"['nambah', 'stress']","['nambah', 'stress']","['nambah', 'stress']"
43,Game ny burik gk guna ngasih tim yg bot game tolol,game ny burik gk guna ngasih tim yg bot game tolol,game ny burik gk guna ngasih tim yg bot game tolol,"['game', 'ny', 'burik', 'gk', 'guna', 'ngasih', 'tim', 'yg', 'bot', 'game', 'tolol']",<FreqDist with 10 samples and 11 outcomes>,"['game', 'burik', 'gk', 'ngasih', 'tim', 'bot', 'game', 'tolol']","['gim,', 'jelek,', 'tidak,', 'memberikan,', 'tim', 'bot', 'gim,', 'bodoh,']","['gim', 'jelek', 'tidak', 'beri', 'tim', 'bot', 'gim', 'bodoh']"
44,Plis dong kalo mvp jangan cuman di lihat dari kill Dead and asist nya doang liat juga koin nya level nya cara bermain nya Gk adil mana saya sering gk dapet asist Padahal selalu bantuin tim buat ngekill,plis dong kalo mvp jangan cuman di lihat dari kill dead and asist nya doang liat juga koin nya level nya cara bermain nya gk adil mana saya sering gk dapet asist padahal selalu bantuin tim buat ngekill,plis dong kalo mvp jangan cuman di lihat dari kill dead and asist nya doang liat juga koin nya level nya cara bermain nya gk adil mana saya sering gk dapet asist padahal selalu bantuin tim buat ngekill,"['plis', 'dong', 'kalo', 'mvp', 'jangan', 'cuman', 'di', 'lihat', 'dari', 'kill', 'dead', 'and', 'asist', 'nya', 'doang', 'liat', 'juga', 'koin', 'nya', 'level', 'nya', 'cara', 'bermain', 'nya', 'gk', 'adil', 'mana', 'saya', 'sering', 'gk', 'dapet', 'asist', 'padahal', 'selalu', 'bantuin', 'tim', 'buat', 'ngekill']",<FreqDist with 33 samples and 38 outcomes>,"['plis', 'mvp', 'cuman', 'lihat', 'kill', 'dead', 'and', 'asist', 'doang', 'liat', 'koin', 'level', 'bermain', 'gk', 'adil', 'gk', 'dapet', 'asist', 'bantuin', 'tim', 'ngekill']","['tolonh,', 'pemainterbaik,', 'Cuma,', 'lihat', 'kill', 'dead', 'and', 'asist', 'saja,', 'lihat,', 'koin', 'level', 'bermain', 'tidak,', 'adil', 'tidak,', 'dapat,', 'asist', 'bantuin', 'tim', 'ngekill']","['tolonh', 'pemainterbaik', 'cuma', 'lihat', 'kill', 'dead', 'and', 'asist', 'saja', 'lihat', 'koin', 'level', 'main', 'tidak', 'adil', 'tidak', 'dapat', 'asist', 'bantuin', 'tim', 'ngekill']"
45,Di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari 3 ke 6 karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari 3 ke 6 karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari ke karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,"['di', 'tempat', 'saya', 'jaringannya', 'kadang', 'hilang', 'jadi', 'tolong', 'untuk', 'developer', 'menambah', 'batas', 'pemulihan', 'kredit', 'skor', 'dari', 'ke', 'karena', 'tingkat', 'pengurangan', 'kredit', 'skor', 'sangat', 'tinggi', 'apalagi', 'kalau', 'kena', 'report']",<FreqDist with 26 samples and 28 outcomes>,"['jaringannya', 'kadang', 'hilang', 'tolong', 'developer', 'menambah', 'batas', 'pemulihan', 'kredit', 'skor', 'tingkat', 'pengurangan', 'kredit', 'skor', 'kena', 'report']","['jaringannya', 'kadang,', 'hilang', 'tolong', 'developer', 'menambah', 'batas', 'pemulihan', 'kredit', 'skor', 'tingkat', 'pengurangan', 'kredit', 'skor', 'kena,', 'report']","['jaring', 'kadang', 'hilang', 'tolong', 'developer', 'tambah', 'batas', 'pulih', 'kredit', 'skor', 'tingkat', 'kurang', 'kredit', 'skor', 'kena', 'report']"
46,kalo ngasih tim itu yg bener dong monton masak gw maen lose 15Ã— win cuman 5Ã— gema apaan tiap maen selalu di kasih tim yg TOLOL mulu paan kanjingud,kalo ngasih tim itu yg bener dong monton masak gw maen lose 15ã— win cuman 5ã— gema apaan tiap maen selalu di kasih tim yg tolol mulu paan kanjingud,kalo ngasih tim itu yg bener dong monton masak gw maen lose win cuman gema apaan tiap maen selalu di kasih tim yg tolol mulu paan kanjingud,"['kalo', 'ngasih', 'tim', 'itu', 'yg', 'bener', 'dong', 'monton', 'masak', 'gw', 'maen', 'lose', 'win', 'cuman', 'gema', 'apaan', 'tiap', 'maen', 'selalu', 'di', 'kasih', 'tim', 'yg', 'tolol', 'mulu', 'paan', 'kanjingud']",<FreqDist with 24 samples and 27 outcomes>,"['ngasih', 'tim', 'bener', 'monton', 'masak', 'gw', 'maen', 'lose', 'win', 'cuman', 'gema', 'maen', 'kasih', 'tim', 'tolol', 'mulu', 'paan', 'kanjingud']","['memberikan,', 'tim', 'benar,', 'moonton,', 'apa,', 'saya,', 'main,', 'lose', 'menang,', 'Cuma,', 'gema', 'main,', 'kasih', 'tim', 'bodoh,', 'melulu,', 'paan', 'kanjingud']","['beri', 'tim', 'benar', 'moonton', 'apa', 'saya', 'main', 'lose', 'menang', 'cuma', 'gema', 'main', 'kasih', 'tim', 'bodoh', 'melulu', 'paan', 'kanjingud']"
47,Kurang bagus,kurang bagus,kurang bagus,"['kurang', 'bagus']",<FreqDist with 2 samples and 2 outcomes>,['bagus'],['bagus'],['bagus']
48,menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan 70ms kebawah tapi kaya 201 ms jadi tolong perbaiki atau saya pindah game ke saja,menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan 70ms kebawah tapi kaya 201 ms jadi tolong perbaiki atau saya pindah game ke saja,menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan ms kebawah tapi kaya ms jadi tolong perbaiki atau saya pindah game ke saja,"['menurut', 'saya', 'game', 'ini', 'harus', 'di', 'kembangkang', 'lagi', 'deh', 'karna', 'game', 'ini', 'suka', 'gak', 'jelas', 'harus', 'download', 'secara', 'tiba', 'tiba', 'jaringan', 'sih', 'paling', 'parah', 'lag', 'banget', 'padahal', 'jaringan', 'ms', 'kebawah', 'tapi', 'kaya', 'ms', 'jadi', 'tolong', 'perbaiki', 'atau', 'saya', 'pindah', 'game', 'ke', 'saja']",<FreqDist with 34 samples and 42 outcomes>,"['game', 'kembangkang', 'deh', 'karna', 'game', 'suka', 'download', 'jaringan', 'parah', 'lag', 'banget', 'jaringan', 'ms', 'kebawah', 'kaya', 'ms', 'tolong', 'perbaiki', 'pindah', 'game']","['gim,', 'kembangkang', 'deh', 'karena,', 'gim,', 'suka', 'unduh,', 'jaringan', 'parah', 'lag', 'banget', 'jaringan', 'ms', 'kebawah', 'seperti,', 'ms', 'tolong', 'perbaiki', 'pindah', 'gim,']","['gim', 'kembangkang', 'deh', 'karena', 'gim', 'suka', 'unduh', 'jaring', 'parah', 'lag', 'banget', 'jaring', 'ms', 'bawah', 'seperti', 'ms', 'tolong', 'baik', 'pindah', 'gim']"
49,Sinyal bgus kok tibaÂ² jadi merah gamenya gak enak bgt sekrg,sinyal bgus kok tibaâ² jadi merah gamenya gak enak bgt sekrg,sinyal bgus kok tiba jadi merah gamenya gak enak bgt sekrg,"['sinyal', 'bgus', 'kok', 'tiba', 'jadi', 'merah', 'gamenya', 'gak', 'enak', 'bgt', 'sekrg']",<FreqDist with 11 samples and 11 outcomes>,"['sinyal', 'bgus', 'merah', 'gamenya', 'enak', 'bgt', 'sekrg']","['sinyal,', 'bagus,', 'merah', 'gim,', 'enak', 'banget,', 'sekrg']","['sinyal', 'bagus', 'merah', 'gim', 'enak', 'banget', 'sekrg']"
50,Game apa nih pilih kasih kda gw aja 7.3.4 Di kasih coklat sedangkan temen gw mm kda 1.8.4 silver pilih kasih banget,game apa nih pilih kasih kda gw aja 7.3.4 di kasih coklat sedangkan temen gw mm kda 1.8.4 silver pilih kasih banget,game apa nih pilih kasih kda gw aja di kasih coklat sedangkan temen gw mm kda silver pilih kasih banget,"['game', 'apa', 'nih', 'pilih', 'kasih', 'kda', 'gw', 'aja', 'di', 'kasih', 'coklat', 'sedangkan', 'temen', 'gw', 'mm', 'kda', 'silver', 'pilih', 'kasih', 'banget']",<FreqDist with 15 samples and 20 outcomes>,"['game', 'pilih', 'kasih', 'kda', 'gw', 'kasih', 'coklat', 'temen', 'gw', 'mm', 'kda', 'silver', 'pilih', 'kasih', 'banget']","['gim,', 'pilih', 'kasih', 'kda', 'saya,', 'kasih', 'coklat', 'teman,', 'saya,', 'mm', 'kda', 'silver', 'pilih', 'kasih', 'banget']","['gim', 'pilih', 'kasih', 'kda', 'saya', 'kasih', 'coklat', 'teman', 'saya', 'mm', 'kda', 'silver', 'pilih', 'kasih', 'banget']"
51,halo min saya kasih bintang 4 untuk game ini. Game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget. Heronya juga gak ada bug lagi yang aku temui,halo min saya kasih bintang 4 untuk game ini. game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget. heronya juga gak ada bug lagi yang aku temui,halo min saya kasih bintang untuk game ini game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget heronya juga gak ada bug lagi yang aku temui,"['halo', 'min', 'saya', 'kasih', 'bintang', 'untuk', 'game', 'ini', 'game', 'ini', 'sudah', 'bagus', 'dari', 'segi', 'grafis', 'apalagi', 'yang', 'iltra', 'udah', 'bagus', 'banget', 'heronya', 'juga', 'gak', 'ada', 'bug', 'lagi', 'yang', 'aku', 'temui']",<FreqDist with 26 samples and 30 outcomes>,"['halo', 'min', 'kasih', 'bintang', 'game', 'game', 'bagus', 'segi', 'grafis', 'iltra', 'udah', 'bagus', 'banget', 'heronya', 'bug', 'temui']","['halo', 'minimal,', 'kasih', 'bintang', 'gim,', 'gim,', 'bagus', 'segi,', 'grafis', 'iltra', 'sudah,', 'bagus', 'banget', 'heronya', 'bug', 'temu,']","['halo', 'minimal', 'kasih', 'bintang', 'gim', 'gim', 'bagus', 'segi', 'grafis', 'iltra', 'sudah', 'bagus', 'banget', 'hero', 'bug', 'temu']"
52,sejauh ini mobile legend bagus. Dan menurutku mlbb adalah permainan moba terbaik. Ada banyak sekali hero dengan berbagai role yang pengguna bisa kuasai,sejauh ini mobile legend bagus. dan menurutku mlbb adalah permainan moba terbaik. ada banyak sekali hero dengan berbagai role yang pengguna bisa kuasai,sejauh ini mobile legend bagus dan menurutku mlbb adalah permainan moba terbaik ada banyak sekali hero dengan berbagai role yang pengguna bisa kuasai,"['sejauh', 'ini', 'mobile', 'legend', 'bagus', 'dan', 'menurutku', 'mlbb', 'adalah', 'permainan', 'moba', 'terbaik', 'ada', 'banyak', 'sekali', 'hero', 'dengan', 'berbagai', 'role', 'yang', 'pengguna', 'bisa', 'kuasai']",<FreqDist with 23 samples and 23 outcomes>,"['mobile', 'legend', 'bagus', 'menurutku', 'mlbb', 'permainan', 'moba', 'terbaik', 'hero', 'role', 'pengguna', 'kuasai']","['mobile', 'legend', 'bagus', 'menurutku', 'mlbb', 'permainan', 'moba', 'terbaik', 'hero', 'role', 'pengguna', 'kuasai']","['mobile', 'legend', 'bagus', 'turut', 'mlbb', 'main', 'moba', 'baik', 'hero', 'role', 'guna', 'kuasa']"
53,Aku suka banget dari sistem sudah bagus. Mobile legend moba terbaik,aku suka banget dari sistem sudah bagus. mobile legend moba terbaik,aku suka banget dari sistem sudah bagus mobile legend moba terbaik,"['aku', 'suka', 'banget', 'dari', 'sistem', 'sudah', 'bagus', 'mobile', 'legend', 'moba', 'terbaik']",<FreqDist with 11 samples and 11 outcomes>,"['suka', 'banget', 'sistem', 'bagus', 'mobile', 'legend', 'moba', 'terbaik']","['suka', 'banget', 'sistim,', 'bagus', 'mobile', 'legend', 'moba', 'terbaik']","['suka', 'banget', 'sistim', 'bagus', 'mobile', 'legend', 'moba', 'baik']"
54,game nya sangat bagus menarik dan bisa membuat kita berpikir strategi,game nya sangat bagus menarik dan bisa membuat kita berpikir strategi,game nya sangat bagus menarik dan bisa membuat kita berpikir strategi,"['game', 'nya', 'sangat', 'bagus', 'menarik', 'dan', 'bisa', 'membuat', 'kita', 'berpikir', 'strategi']",<FreqDist with 11 samples and 11 outcomes>,"['game', 'bagus', 'menarik', 'berpikir', 'strategi']","['gim,', 'bagus', 'menarik', 'berpikir', 'strategi']","['gim', 'bagus', 'tarik', 'pikir', 'strategi']"
55,game ini adalah game favoritku dari dulu semoga game ini terus berkembang dan memperbanyak hero dan skinnya agar memiliki pengguna yang lebih banyak,game ini adalah game favoritku dari dulu semoga game ini terus berkembang dan memperbanyak hero dan skinnya agar memiliki pengguna yang lebih banyak,game ini adalah game favoritku dari dulu semoga game ini terus berkembang dan memperbanyak hero dan skinnya agar memiliki pengguna yang lebih banyak,"['game', 'ini', 'adalah', 'game', 'favoritku', 'dari', 'dulu', 'semoga', 'game', 'ini', 'terus', 'berkembang', 'dan', 'memperbanyak', 'hero', 'dan', 'skinnya', 'agar', 'memiliki', 'pengguna', 'yang', 'lebih', 'banyak']",<FreqDist with 19 samples and 23 outcomes>,"['game', 'game', 'favoritku', 'semoga', 'game', 'berkembang', 'memperbanyak', 'hero', 'skinnya', 'memiliki', 'pengguna']","['gim,', 'gim,', 'favoritku', 'semoga', 'gim,', 'berkembang', 'memperbanyak', 'hero', 'skinnya', 'memiliki', 'pengguna']","['gim', 'gim', 'favorit', 'moga', 'gim', 'kembang', 'banyak', 'hero', 'skinnya', 'milik', 'guna']"
56,terima kasih mobile legends. Sejauh ini masih jadi game terbaik meski banyak saingan game sesama moba baru,terima kasih mobile legends. sejauh ini masih jadi game terbaik meski banyak saingan game sesama moba baru,terima kasih mobile legends sejauh ini masih jadi game terbaik meski banyak saingan game sesama moba baru,"['terima', 'kasih', 'mobile', 'legends', 'sejauh', 'ini', 'masih', 'jadi', 'game', 'terbaik', 'meski', 'banyak', 'saingan', 'game', 'sesama', 'moba', 'baru']",<FreqDist with 16 samples and 17 outcomes>,"['terima', 'kasih', 'mobile', 'legends', 'game', 'terbaik', 'saingan', 'game', 'moba']","['terima', 'kasih', 'mobile', 'legends', 'gim,', 'terbaik', 'saingan', 'gim,', 'moba']","['terima', 'kasih', 'mobile', 'legends', 'gim', 'baik', 'saing', 'gim', 'moba']"
57,gamenya bagus. Mudah dimainkan banyak pilihan hero untuk dipakai dan banyak skin untuk dikoleksi,gamenya bagus. mudah dimainkan banyak pilihan hero untuk dipakai dan banyak skin untuk dikoleksi,gamenya bagus mudah dimainkan banyak pilihan hero untuk dipakai dan banyak skin untuk dikoleksi,"['gamenya', 'bagus', 'mudah', 'dimainkan', 'banyak', 'pilihan', 'hero', 'untuk', 'dipakai', 'dan', 'banyak', 'skin', 'untuk', 'dikoleksi']",<FreqDist with 12 samples and 14 outcomes>,"['gamenya', 'bagus', 'mudah', 'dimainkan', 'pilihan', 'hero', 'dipakai', 'skin', 'dikoleksi']","['gim,', 'bagus', 'mudah', 'dimainkan', 'pilihan', 'hero', 'dipakai', 'skin', 'dikoleksi']","['gim', 'bagus', 'mudah', 'main', 'pilih', 'hero', 'pakai', 'skin', 'koleksi']"
58,"game nya bagus sekali grafiknya bagus banget untuk ukuran game ringan, permainan sangat asik. Sehat selalu moonton","game nya bagus sekali grafiknya bagus banget untuk ukuran game ringan, permainan sangat asik. sehat selalu moonton",game nya bagus sekali grafiknya bagus banget untuk ukuran game ringan permainan sangat asik sehat selalu moonton,"['game', 'nya', 'bagus', 'sekali', 'grafiknya', 'bagus', 'banget', 'untuk', 'ukuran', 'game', 'ringan', 'permainan', 'sangat', 'asik', 'sehat', 'selalu', 'moonton']",<FreqDist with 15 samples and 17 outcomes>,"['game', 'bagus', 'grafiknya', 'bagus', 'banget', 'ukuran', 'game', 'ringan', 'permainan', 'asik', 'sehat', 'moonton']","['gim,', 'bagus', 'grafiknya', 'bagus', 'banget', 'ukuran', 'gim,', 'ringan', 'permainan', 'seru,', 'sehat', 'moonton']","['gim', 'bagus', 'grafik', 'bagus', 'banget', 'ukur', 'gim', 'ringan', 'main', 'seru', 'sehat', 'moonton']"
