,rawContent,caseFolding,cleaning,tokenizing,tweet_tokens_fdist,stopword,tweet_tokens_normalized,tweet_tokens_stemmed
11,Bodoh moonton tolol ngasih team kek babi,bodoh moonton tolol ngasih team kek babi,bodoh moonton tolol ngasih team kek babi,"['bodoh', 'moonton', 'tolol', 'ngasih', 'team', 'kek', 'babi']",<FreqDist with 7 samples and 7 outcomes>,"['bodoh', 'moonton', 'tolol', 'ngasih', 'team', 'kek', 'babi']","['bodoh', 'moonton', 'bodoh,', 'memberikan,', 'tim,', 'seperti,', 'babi']","['bodoh', 'moonton', 'bodoh', 'beri', 'tim', 'seperti', 'babi']"
12,pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,"['pembagian', 'tim', 'gak', 'seimbang', 'sangat', 'mengganggu', 'dan', 'membuat', 'game', 'ini', 'menjadi', 'kurang', 'seru']",<FreqDist with 13 samples and 13 outcomes>,"['pembagian', 'tim', 'seimbang', 'mengganggu', 'game', 'seru']","['pembagian', 'tim', 'seimbang', 'mengganggu', 'gim,', 'seru']","['bagi', 'tim', 'imbang', 'ganggu', 'gim', 'seru']"
13,Banyak dark sistem males main BURIK,banyak dark sistem males main burik,banyak dark sistem males main burik,"['banyak', 'dark', 'sistem', 'males', 'main', 'burik']",<FreqDist with 6 samples and 6 outcomes>,"['dark', 'sistem', 'males', 'main', 'burik']","['dark', 'sistim,', 'malas,', 'main', 'jelek,']","['dark', 'sistim', 'malas', 'main', 'jelek']"
14,Dark sistem anjing game setingan tolol,dark sistem anjing game setingan tolol,dark sistem anjing game setingan tolol,"['dark', 'sistem', 'anjing', 'game', 'setingan', 'tolol']",<FreqDist with 6 samples and 6 outcomes>,"['dark', 'sistem', 'anjing', 'game', 'setingan', 'tolol']","['dark', 'sistim,', 'anjing', 'gim,', 'setingan', 'bodoh,']","['dark', 'sistim', 'anjing', 'gim', 'ting', 'bodoh']"
15,gabut aja,gabut aja,gabut aja,"['gabut', 'aja']",<FreqDist with 2 samples and 2 outcomes>,['gabut'],['gabut'],['gabut']
16,Gambarnya tidak bagus..Game tai... Lelet padahal jaringan gua bagus... Sistem berlebihan.. jangan di download,gambarnya tidak bagus..game tai... lelet padahal jaringan gua bagus... sistem berlebihan.. jangan di download,gambarnya tidak bagusgame tai lelet padahal jaringan gua bagus sistem berlebihan jangan di download,"['gambarnya', 'tidak', 'bagusgame', 'tai', 'lelet', 'padahal', 'jaringan', 'gua', 'bagus', 'sistem', 'berlebihan', 'jangan', 'di', 'download']",<FreqDist with 14 samples and 14 outcomes>,"['gambarnya', 'bagusgame', 'tai', 'lelet', 'jaringan', 'gua', 'bagus', 'sistem', 'download']","['gambarnya', 'bagusgame', 'kotoran,', 'lambat,', 'jaringan', 'saya,', 'bagus', 'sistim,', 'unduh,']","['gambar', 'bagusgame', 'kotor', 'lambat', 'jaring', 'saya', 'bagus', 'sistim', 'unduh']"
17,game ampas banyak dark sistem bug dan lain lain,game ampas banyak dark sistem bug dan lain lain,game ampas banyak dark sistem bug dan lain lain,"['game', 'ampas', 'banyak', 'dark', 'sistem', 'bug', 'dan', 'lain', 'lain']",<FreqDist with 8 samples and 9 outcomes>,"['game', 'ampas', 'dark', 'sistem', 'bug']","['gim,', 'sampah,', 'dark', 'sistim,', 'bug']","['gim', 'sampah', 'dark', 'sistim', 'bug']"
18,P mabar yg lebih seru,p mabar yg lebih seru, mabar yg lebih seru,"['mabar', 'yg', 'lebih', 'seru']",<FreqDist with 4 samples and 4 outcomes>,"['mabar', 'seru']","['mainbersama,', 'seru']","['mainbersama', 'seru']"
19,banyak bocah ingusan ni min mager gua ngerank,banyak bocah ingusan ni min mager gua ngerank,banyak bocah ingusan ni min mager gua ngerank,"['banyak', 'bocah', 'ingusan', 'ni', 'min', 'mager', 'gua', 'ngerank']",<FreqDist with 8 samples and 8 outcomes>,"['bocah', 'ingusan', 'ni', 'min', 'mager', 'gua', 'ngerank']","['bocah', 'ingusan', 'ini,', 'minimal,', 'mager', 'saya,', 'ngerank']","['bocah', 'ingus', 'ini', 'minimal', 'mager', 'saya', 'ngerank']"
20,pliss lah masaalh lawan ssh kali lah dark system,pliss lah masaalh lawan ssh kali lah dark system,pliss lah masaalh lawan ssh kali lah dark system,"['pliss', 'lah', 'masaalh', 'lawan', 'ssh', 'kali', 'lah', 'dark', 'system']",<FreqDist with 8 samples and 9 outcomes>,"['pliss', 'masaalh', 'lawan', 'ssh', 'kali', 'dark', 'system']","['pliss', 'masaalh', 'musuh,', 'ssh', 'kali', 'dark', 'sistim,']","['pliss', 'masaalh', 'musuh', 'ssh', 'kali', 'dark', 'sistim']"
